Date,Original Content,Translation
6/12/2019,"[Dual Top Canvas Tote Bag]

고트스킨&캔버스 소재 남성 토트백

소지품이 많을 땐 숄더스트랩으로
간편하게 착용해보세요.

* 제품정보 http://bit.ly/2Vu4Vdh
* 블랙 카키 2가지 컬러
* 먼지 묻음 최소화 원단 사용
* 숄더 스트랩 탈부착 가능
* 고트스킨&캔버스 소재 초경량 토트백","[Dual Top Canvas Tote Bag]

Goatskin & Canvas male tote bag

If you have a lot of stuff use a shoulder strap.
Try it on easily.

* Product information http://bit.ly/2Vu4Vdh
* Black khaki 2 colors
* Minimize dust content using fabric
* Removable shoulder straps
* Ultralightweight tote bag​ in Goatskin & Canvas"
6/9/2019,"
[Dual Top Canvas Tote Bag]

고트스킨&캔버스 소재 남성 토트백

먼지 묻음 최소화 할 수 있도록
특수 개발한 블랙 캔버스 소재와
고트스킨 소재로 견고하고 가벼워진 토트백

* 블랙 카키 2가지 컬러 출시
* 숄더 스트랩 탈부착 가능
* 고트스킨&캔버스 소재 초경량 토트백","[Dual Top Canvas Tote Bag]

Goatskin & Canvas male tote bag

If you have a lot of stuff use a shoulder strap.
Try it on easily.

* Product information http://bit.ly/2Vu4Vdh
* Black khaki 2 colors
* Minimize dust content using fabric
* Removable shoulder straps
* Ultralightweight tote bag​ in Goatskin & Canvas"
6/6/2019,"
[Dual Top Canvas Tote Bag]

고트스킨&캔버스 소재 남성 토트백

먼지 묻음 최소화 할 수 있도록
특수 개발한 블랙 캔버스 소재와
고트스킨 소재로 견고하고 가벼워진 토트백

* 블랙 카키 2가지 컬러 출시
* 숄더 스트랩 탈부착 가능
* 고트스킨&캔버스 소재 초경량 토트백","[Dual Top Canvas Tote Bag]

Goatskin & Canvas male tote bag

If you have a lot of stuff use a shoulder strap.
Try it on easily.

* Product information http://bit.ly/2Vu4Vdh
* Black khaki 2 colors
* Minimize dust content using fabric
* Removable shoulder straps
* Ultralightweight tote bag​ in Goatskin & Canvas"
6/6/2019,"
[Dual Top Canvas Tote Bag]

고트스킨&캔버스 소재 남성 토트백

먼지 묻음 최소화 할 수 있도록
특수 개발한 블랙 캔버스 소재와
고트스킨 소재로 견고하고 가벼워진 토트백

* 제품 정보 http://bit.ly/2Vu4Vdh
* 블랙 카키 2가지 컬러 출시
* 숄더 스트랩 탈부착 가능
* 고트스킨&캔버스 소재 초경량 토트백","[Dual Top Canvas Tote Bag]

Goatskin & Canvas male tote bag

If you have a lot of stuff use a shoulder strap.
Try it on easily.

* Product information http://bit.ly/2Vu4Vdh
* Black khaki 2 colors
* Minimize dust content using fabric
* Removable shoulder straps
* Ultralightweight tote bag​ in Goatskin & Canvas"
6/4/2019,"[Herringbone Canvas Shopper Bag]

일상이 여행이 되는 #피크닉백
여름에 편하게 들기 좋은 여성가방

* 헤링본 패턴 캔버스 소재
* 가벼운 캔버스&고트스킨
* 인아웃 투웨이 착용","[Herringbone Canvas Shopper Bag]

#Picnic bag for everyday travel
Women's bag for summer comfort

* Harringbone pattern canvas material
* Light Canvas & Goatskin
* Wearing inout twoway"
6/4/2019,"
[Herringbone Canvas Shopper Bag]

일상이 여행이 되는 #피크닉백
여름에 편하게 들기 좋은 여성가방

* 헤링본 패턴 캔버스 소재
* 가벼운 캔버스&고트스킨
* 인아웃 투웨이 착용","[Herringbone Canvas Shopper Bag]

#Picnic bag for everyday travel
Women's bag for summer comfort

* Harringbone pattern canvas material
* Light Canvas & Goatskin
* Wearing inout twoway"
6/4/2019,"
[Herringbone Canvas Shopper Bag]

일상이 여행이 되는 #피크닉백
여름에 편하게 들기 좋은 여성가방

* 헤링본 패턴 캔버스 소재
* 가벼운 캔버스&고트스킨
* 인아웃 투웨이 착용","[Herringbone Canvas Shopper Bag]

#Picnic bag for everyday travel
Women's bag for summer comfort

* Harringbone pattern canvas material
* Light Canvas & Goatskin
* Wearing inout twoway"
6/3/2019,"[Three Way Tape Clutch Bag]

여성스러운 곡선과 테잎 디테일이
돋보이는 테잎 클러치백

포인트 주고 싶은 날엔
유니크한 레트로 레드 컬러

* 초경량 고트스킨 소재
* 숄더스트랩 탈부착 가능","[Three Way Tape Clutch Bag]

The feminine curves and tape details
stand out tape clutch bag

When I want to give you a point
Unique Retro Red Color

* Ultralight Gotskin Material
* removable shoulder strap"
6/2/2019,"[Three Way Tape Clutch Bag]

여성스러운 곡선과 테잎 디테일이
돋보이는 테잎 클러치백

데일리백으로 들고 다니기엔
블랙 컬러가 진리

* 초경량 고트스킨 소재
* 숄더스트랩 탈부착 가능","[Three Way Tape Clutch Bag]

The feminine curves and tape details
stand out tape clutch bag

When I want to give you a point
Unique Retro Red Color

* Ultralight Gotskin Material
* removable shoulder strap"
6/2/2019,"
[Three Way Tape Clutch Bag]

여성스러운 곡선과 테잎 디테일이
돋보이는 테잎 클러치백

봄여름에 더 화사해보이는
아이보리 신상 컬러

* 제품 정보 : http://bit.ly/2VRKbkK
* 초경량 고트스킨 소재
* 숄더스트랩 탈부착 가능","[Three Way Tape Clutch Bag]

The feminine curves and tape details
stand out tape clutch bag

When I want to give you a point
Unique Retro Red Color

* Ultralight Gotskin Material
* removable shoulder strap"
6/1/2019,"
[Three Way Tape Clutch Bag]

여성스러운 곡선과 테잎 디테일이
돋보이는 테잎 클러치백

포인트 주고 싶은 날엔
유니크한 레트로 레드 컬러

* 초경량 고트스킨 소재
* 숄더스트랩 탈부착 가능","[Three Way Tape Clutch Bag]

The feminine curves and tape details
stand out tape clutch bag

When I want to give you a point
Unique Retro Red Color

* Ultralight Gotskin Material
* removable shoulder strap"
6/1/2019,"
[Three Way Tape Clutch Bag]

여성스러운 곡선과 테잎 디테일이
돋보이는 테잎 클러치백

포인트 주고 싶은 날엔
유니크한 레트로 레드 컬러

* 초경량 고트스킨 소재
* 숄더스트랩 탈부착 가능","[Three Way Tape Clutch Bag]

The feminine curves and tape details
stand out tape clutch bag

When I want to give you a point
Unique Retro Red Color

* Ultralight Gotskin Material
* removable shoulder strap"
5/31/2019,"
[Three Way Tape Clutch Bag]

여성스러운 곡선과 테잎 디테일이
돋보이는 테잎 클러치백

포인트 주고 싶은 날엔
유니크한 레트로 레드 컬러

* 초경량 고트스킨 소재
* 숄더스트랩 탈부착 가능","[Three Way Tape Clutch Bag]

The feminine curves and tape details
stand out tape clutch bag

When I want to give you a point
Unique Retro Red Color

* Ultralight Gotskin Material
* removable shoulder strap"
5/30/2019,"
[Herringbone Canvas Shopper Bag]

일상이 여행이 되는 #피크닉백
여름에 편하게 들기 좋은 여성가방

* 헤링본 패턴 캔버스 소재
* 가벼운 캔버스&고트스킨
* 인아웃 투웨이 착용
* 5월 감사제 35% 진행 중","[Herringbone Canvas Shopper Bag]

#Picnic bag for everyday travel
Women's bag for summer comfort

* Harringbone pattern canvas material
* Light Canvas & Gotskin
* Inout twoway wear
* May Audit 35% in progress"
5/29/2019,"
[Herringbone Canvas Shopper Bag]

일상이 여행이 되는 #피크닉백
여름에 편하게 들기 좋은 여성가방

* 헤링본 패턴 캔버스 소재
* 가벼운 캔버스&고트스킨
* 인아웃 투웨이 착용
* 5월 감사제 35% 진행 중","[Herringbone Canvas Shopper Bag]

#Picnic bag for everyday travel
Women's bag for summer comfort

* Harringbone pattern canvas material
* Light Canvas & Gotskin
* Inout twoway wear
* May Audit 35% in progress"
5/29/2019,"
[Three Way Tape Clutch Bag]

여성스러운 곡선과 테잎 디테일이
돋보이는 테잎 클러치백

데일리백으로 들고 다니기엔
블랙 컬러가 진리

* 초경량 고트스킨 소재
* 숄더스트랩 탈부착 가능
* 5월 감사제 35% 진행 중","[Three Way Tape Clutch Bag]

The feminine curves and tape details
stand out tape clutch bag

When I want to give you a point
Unique Retro Red Color

* Ultralight Gotskin Material
* removable shoulder strap"
5/29/2019,"
[Three Way Tape Clutch Bag]

여성스러운 곡선과 테잎 디테일이
돋보이는 테잎 클러치백

포인트 주고 싶은 날엔
유니크한 레트로 레드 컬러

* 초경량 고트스킨 소재
* 숄더스트랩 탈부착 가능
* 5월 감사제 35% 진행 중","[Three Way Tape Clutch Bag]

The feminine curves and tape details
stand out tape clutch bag

When I want to give you a point
Unique Retro Red Color

* Ultralight Gotskin Material
* removable shoulder strap"
5/28/2019,"
[Three Way Tape Clutch Bag]

여성스러운 곡선과 테잎 디테일이
돋보이는 테잎 클러치백

봄여름에 더 화사해보이는
아이보리 신상 컬러

* 초경량 고트스킨 소재
* 숄더스트랩 탈부착 가능
* 5월 감사제 35% 진행 중","[Three Way Tape Clutch Bag]

The feminine curves and tape details
stand out tape clutch bag

When I want to give you a point
Unique Retro Red Color

* Ultralight Gotskin Material
* removable shoulder strap"
5/27/2019,"
[Dual Top Canvas Tote Bag]

고트스킨&캔버스 소재 남성 토트백

먼지 묻음 최소화 할 수 있도록
특수 개발한 블랙 캔버스 소재와
고트스킨 소재로 견고하고 가벼워진 토트백

* 제품 정보 : http://bit.ly/2Vu4Vdh
* 블랙 카키 2가지 컬러 출시
* 숄더 스트랩 탈부착 가능
* 고트스킨&캔버스 소재 초경량 토트백
* 5월 감사제 35% 진행 중","[Dual Top Canvas Tote Bag]

Goat skin & Canvas male sex bag

To minimize dirt.
We've developed a specially developed black canvas material
Rigid and lightweighted leather bag with Goat skin material

* Product information: http://bit.ly/2Vu4Vdh
* Black Kaki Two Colors Available
* Removable shoulder straps
* Ultralightweight tote bag in Goat skin & Canvas
* May Audit 35% in progress"
5/26/2019,"[Herringbone Canvas Shopper Bag]

일상이 여행이 되는 #피크닉백
여름에 편하게 들기 좋은 여성가방

* 제품 정보 : http://bit.ly/2VRKbkK
* 헤링본 패턴 캔버스 소재
* 가벼운 캔버스&고트스킨 
* 인아웃 투웨이
* 5월 감사제 35% 진행 중","[Herringbone Canvas Shopper Bag]

#Picnic bag for everyday travel
Women's bag for summer comfort

* Harringbone pattern canvas material
* Light Canvas & Gotskin
* Inout twoway wear
* May Audit 35% in progress"
5/26/2019,"
[Herringbone Canvas Shopper Bag]

일상이 여행이 되는 #피크닉백
여름에 편하게 들기 좋은 여성가방

* 헤링본 패턴 캔버스 소재
* 가벼운 캔버스&고트스킨 
* 인아웃 투웨이
* 5월 감사제 35% 진행 중","[Herringbone Canvas Shopper Bag]

#Picnic bag for everyday travel
Women's bag for summer comfort

* Harringbone pattern canvas material
* Light Canvas & Gotskin
* Inout twoway wear
* May Audit 35% in progress"
5/26/2019,"
[Herringbone Canvas Shopper Bag]

일상이 여행이 되는 #피크닉백
여름에 편하게 들기 좋은 여성가방

* 제품 정보 : http://bit.ly/2VRKbkK
* 헤링본 패턴 캔버스 소재
* 가벼운 캔버스&고트스킨 
* 인아웃 투웨이
* 5월 감사제 35% 진행 중","[Herringbone Canvas Shopper Bag]

#Picnic bag for everyday travel
Women's bag for summer comfort

* Harringbone pattern canvas material
* Light Canvas & Gotskin
* Inout twoway wear
* May Audit 35% in progress"
5/23/2019,"
[Three Way Tape Clutch Bag]

여성스러운 곡선과 테잎 디테일이
돋보이는 테잎 클러치백

데일리백으로 들고 다니기엔
블랙 컬러가 진리

* 제품 정보 : http://bit.ly/2VRKbkK
* 초경량 고트스킨 소재
* 숄더스트랩 탈부착 가능
* 5월 감사제 35% 진행 중","[Three Way Tape Clutch Bag]

The feminine curves and tape details
stand out tape clutch bag

When I want to give you a point
Unique Retro Red Color

* Ultralight Gotskin Material
* removable shoulder strap"
5/23/2019,"
[Three Way Tape Clutch Bag]

여성스러운 곡선과 테잎 디테일이
돋보이는 테잎 클러치백

포인트 주고 싶은 날엔
유니크한 레트로 레드 컬러

* 제품 정보 : http://bit.ly/2VRKbkK
* 초경량 고트스킨 소재
* 숄더스트랩 탈부착 가능
* 5월 감사제 35% 진행 중","[Three Way Tape Clutch Bag]

The feminine curves and tape details
stand out tape clutch bag

When I want to give you a point
Unique Retro Red Color

* Ultralight Gotskin Material
* removable shoulder strap"
5/21/2019,"
[Three Way Tape Clutch Bag]

여성스러운 곡선과 테잎 디테일이
돋보이는 테잎 클러치백

봄여름에 더 화사해보이는
아이보리 신상 컬러

* 제품 정보 : http://bit.ly/2VRKbkK
* 초경량 고트스킨 소재
* 숄더스트랩 탈부착 가능
* 5월 감사제 35% 진행 중","[Three Way Tape Clutch Bag]

The feminine curves and tape details
stand out tape clutch bag

When I want to give you a point
Unique Retro Red Color

* Ultralight Gotskin Material
* removable shoulder strap"
5/20/2019,"
[Twozip Clutch Bag]

고트스킨 소재로 가볍고 슬림한 디자인
편안하게 들고 다니기에 좋은 남성 클러치백

* 제품정보 : http://bit.ly/2Vu4Vdh
* 초경량 고트스킨 소재
* 5월 감사제 35% 진행 중

#매드고트 #madgoat #고트스킨 #goatskin","[Twozip Clutch Bag]

Light slim design with gothskin material.
A man's clutch bag that's good to carry around comfortably

* Product information: http://bit.ly/2Vu4Vdh
* Ultralight Gotskin Material
* May Audit 35% in progress

#Madgoat #Goatskin #goatskin"
5/20/2019,"
[Three Way Tape Clutch Bag]

여성스러운 곡선과 테잎 디테일이
돋보이는 테잎 클러치백

* 제품 정보 : http://bit.ly/2Vu4Vdh
* 초경량 고트스킨 소재
* 숄더스트랩 탈부착 가능
* 5월 감사제 35% 진행 중","[Three Way Tape Clutch Bag]

The feminine curves and tape details
stand out tape clutch bag

When I want to give you a point
Unique Retro Red Color

* Ultralight Gotskin Material
* removable shoulder strap"
5/16/2019,"
[Twozip Clutch Bag]

고트스킨 소재로 가볍고 슬림한 디자인
편안하게 들고 다니기에 좋은 남성 클러치백

* 제품 정보 http://bit.ly/2Vu4Vdh
* 초경량 고트스킨 소재
* 5월 감사제 35% 진행 중

#매드고트 #madgoat #고트스킨 #goatskin","[Twozip Clutch Bag]

Light slim design with gothskin material.
A man's clutch bag that's good to carry around comfortably

* Product information: http://bit.ly/2Vu4Vdh
* Ultralight Gotskin Material
* May Audit 35% in progress

#Madgoat #Goatskin #goatskin"
5/16/2019,"
[Three Way Tape Clutch Bag]

여성스러운 곡선과 테잎 디테일이
돋보이는 테잎 클러치백

* 초경량 고트스킨 소재
* 숄더스트랩 탈부착 가능
* 5월 감사제 35% 진행 중","[Three Way Tape Clutch Bag]

The feminine curves and tape details
stand out tape clutch bag

When I want to give you a point
Unique Retro Red Color

* Ultralight Gotskin Material
* removable shoulder strap"
5/16/2019,"
[Three Way Tape Clutch Bag]

여성스러운 곡선과 테잎 디테일이
돋보이는 테잎 클러치백

* 초경량 고트스킨 소재
* 숄더스트랩 탈부착 가능
* 5월 감사제 35% 진행 중","[Three Way Tape Clutch Bag]

The feminine curves and tape details
stand out tape clutch bag

When I want to give you a point
Unique Retro Red Color

* Ultralight Gotskin Material
* removable shoulder strap"
5/16/2019,"
[Three Way Tape Clutch Bag]

여성스러운 곡선과 테잎 디테일이
돋보이는 테잎 클러치백

* 초경량 고트스킨 소재
* 숄더스트랩 탈부착 가능
* 5월 감사제 35% 진행 중","[Three Way Tape Clutch Bag]

The feminine curves and tape details
stand out tape clutch bag

When I want to give you a point
Unique Retro Red Color

* Ultralight Gotskin Material
* removable shoulder strap"
5/10/2019,"
[Dual Top Canvas Tote Bag]

고트스킨&캔버스 소재 남성 토트백

먼지 묻음을 최소화하는 블랙 캔버스 소재를 
특수개발하여 일상에서 더욱 편리하게 착용하세요. 

* 고트스킨&캔버스 소재 초경량 토트백
* 5월 감사제 35% 진행 중","[Dual Top Canvas Tote Bag]

Goatskin & Canvas male tote bag

If you have a lot of stuff use a shoulder strap.
Try it on easily.

* Product information http://bit.ly/2Vu4Vdh
* Black khaki 2 colors
* Minimize dust content using fabric
* Removable shoulder straps
* Ultralightweight tote bag​ in Goatskin & Canvas"
5/10/2019,"
[Dual Top Canvas Tote Bag]

고트스킨&캔버스 소재 남성 토트백

먼지 묻음을 최소화하는 블랙 캔버스 소재를 
특수개발하여 일상에서 더욱 편리하게 착용하세요. 

* 고트스킨&캔버스 소재 초경량 토트백
* 5월 감사제 35% 진행 중","[Dual Top Canvas Tote Bag]

Goatskin & Canvas male tote bag

If you have a lot of stuff use a shoulder strap.
Try it on easily.

* Product information http://bit.ly/2Vu4Vdh
* Black khaki 2 colors
* Minimize dust content using fabric
* Removable shoulder straps
* Ultralightweight tote bag​ in Goatskin & Canvas"
5/10/2019,"[Dual Top Canvas Tote Bag]

고트스킨과&캔버스 소재 남성 토트백

먼지 묻음을 최소화하는 블랙 캔버스 소재를 
특수개발하여 일상에서 더욱 편리하게 착용하세요. 

* 고트스킨&캔버스 소재 초경량 토트백
* 5월 감사제 35% 진행 중","[Dual Top Canvas Tote Bag]

Goatskin & Canvas male tote bag

If you have a lot of stuff use a shoulder strap.
Try it on easily.

* Product information http://bit.ly/2Vu4Vdh
* Black khaki 2 colors
* Minimize dust content using fabric
* Removable shoulder straps
* Ultralightweight tote bag​ in Goatskin & Canvas"
5/10/2019,"[Dual Top Canvas Tote Bag]

고트스킨과&캔버스 소재 남성 토트백

먼지 묻음을 최소화하는 블랙 캔버스 소재를 
특수개발하여 일상에서 더욱 편리하게 착용하세요. 

* 고트스킨&캔버스 소재 초경량 토트백
* 5월 감사제 35% 진행 중","[Dual Top Canvas Tote Bag]

Goatskin & Canvas male tote bag

If you have a lot of stuff use a shoulder strap.
Try it on easily.

* Product information http://bit.ly/2Vu4Vdh
* Black khaki 2 colors
* Minimize dust content using fabric
* Removable shoulder straps
* Ultralightweight tote bag​ in Goatskin & Canvas"
5/10/2019,"[Herringbone Canvas Shopper Bag]

견고한 고트스킨과 헤링본 캔버스의 조화
일상이 여행이 되는 “피크닉백”

* 고트스킨&캔버스 소재 초경량 토트백
* 인아웃 투웨이 방식
* 5월 감사제 35% 진행 중","[Herringbone Canvas Shopper Bag]

#Picnic bag for everyday travel
Women's bag for summer comfort

* Harringbone pattern canvas material
* Light Canvas & Gotskin
* Inout twoway wear
* May Audit 35% in progress"
5/10/2019,"
[Herringbone Canvas Shopper Bag]

견고한 고트스킨과 헤링본 캔버스의 조화
일상이 여행이 되는 “피크닉백”

* 고트스킨&캔버스 소재 초경량 토트백
* 인아웃 투웨이 방식
* 5월 감사제 35% 진행 중","[Herringbone Canvas Shopper Bag]

#Picnic bag for everyday travel
Women's bag for summer comfort

* Harringbone pattern canvas material
* Light Canvas & Gotskin
* Inout twoway wear
* May Audit 35% in progress"
5/7/2019,"
[Herringbone Canvas Shopper Bag]

계절에 잘 어울리는 고트스킨&캔버스백 출시
햇살 가득한 오늘 “피크니백”과 함께

* 고트스킨&캔버스 소재 초경량 토트백
* 인아웃 투웨이 방식
* 5월 감사제 35% 진행 중","[Herringbone Canvas Shopper Bag]

#Picnic bag for everyday travel
Women's bag for summer comfort

* Harringbone pattern canvas material
* Light Canvas & Gotskin
* Inout twoway wear
* May Audit 35% in progress"
5/7/2019,"
[Herringbone Canvas Shopper Bag]

계절에 잘 어울리는 고트스킨&캔버스백 출시
햇살 가득한 오늘 “피크니백”과 함께

* 고트스킨&캔버스 소재 초경량 토트백
* 인아웃 투웨이 방식
* 5월 감사제 35% 진행 중","[Herringbone Canvas Shopper Bag]

#Picnic bag for everyday travel
Women's bag for summer comfort

* Harringbone pattern canvas material
* Light Canvas & Gotskin
* Inout twoway wear
* May Audit 35% in progress"
5/7/2019,"
[Herringbone Canvas Shopper Bag]

계절에 잘 어울리는 고트스킨&캔버스백 출시
햇살 가득한 오늘 “피크니백”과 함께

* 고트스킨&캔버스 소재 초경량 토트백
* 인아웃 투웨이 방식
* 5월 감사제 35% 진행 중","[Herringbone Canvas Shopper Bag]

#Picnic bag for everyday travel
Women's bag for summer comfort

* Harringbone pattern canvas material
* Light Canvas & Gotskin
* Inout twoway wear
* May Audit 35% in progress"
5/7/2019,"
[Herringbone Canvas Shopper Bag]

계절에 잘 어울리는 고트스킨&캔버스백 출시
“피크닉백”을 든 순간 일상 속 여행의 시작 

* 고트스킨&캔버스 소재 초경량 토트백
* 인아웃 투웨이 방식
* 5월 감사제 35% 진행 중","[Herringbone Canvas Shopper Bag]

#Picnic bag for everyday travel
Women's bag for summer comfort

* Harringbone pattern canvas material
* Light Canvas & Gotskin
* Inout twoway wear
* May Audit 35% in progress"
5/7/2019,"
[Herringbone Canvas Shopper Bag]

계절에 잘 어울리는 고트스킨&캔버스백 출시
“피크닉백”을 든 순간 일상 속 여행의 시작 

* 고트스킨&캔버스 소재 초경량 토트백
* 인아웃 투웨이 방식
* 5월 감사제 35% 진행 중","[Herringbone Canvas Shopper Bag]

#Picnic bag for everyday travel
Women's bag for summer comfort

* Harringbone pattern canvas material
* Light Canvas & Gotskin
* Inout twoway wear
* May Audit 35% in progress"
5/7/2019,"
[Herringbone Canvas Shopper Bag]

계절에 잘 어울리는 고트스킨&캔버스백 출시
“피크닉백”을 든 순간 일상 속 여행의 시작 

* 고트스킨&캔버스 소재 초경량 토트백
* 인아웃 투웨이 방식
* 5월 감사제 35% 진행 중","[Herringbone Canvas Shopper Bag]

#Picnic bag for everyday travel
Women's bag for summer comfort

* Harringbone pattern canvas material
* Light Canvas & Gotskin
* Inout twoway wear
* May Audit 35% in progress"